    c,  1.0,    a,  3.0,    a,  1.0,    1
    b,  1.0,    e,  5.0,    e,  6.0,   -1
    b,  1.0,    e,  5.0,    f,  4.0,   -1
    b,  1.0,    e,  5.0,    f,  5.0,   -1
    b,  1.0,    e,  5.0,    f,  6.0,   -1
    b,  1.0,    e,  6.0,    d,  5.0,   -1
    b,  1.0,    e,  6.0,    d,  6.0,   -1
    b,  1.0,    e,  6.0,    d,  7.0,   -1
    b,  1.0,    e,  6.0,    e,  5.0,   -1
    b,  1.0,    e,  6.0,    e,  7.0,   -1
    b,  1.0,    e,  6.0,    f,  5.0,   -1
    b,  1.0,    e,  6.0,    f,  6.0,   -1
    b,  1.0,    e,  6.0,    f,  7.0,   -1
    b,  1.0,    e,  7.0,    d,  6.0,   -1
    b,  1.0,    e,  7.0,    d,  7.0,   -1
    b,  1.0,    e,  7.0,    d,  8.0,   -1
    b,  1.0,    e,  7.0,    e,  6.0,   -1
    b,  1.0,    e,  7.0,    e,  8.0,   -1
    b,  1.0,    e,  7.0,    f,  6.0,   -1
    b,  1.0,    e,  7.0,    f,  7.0,   -1
    b,  1.0,    e,  7.0,    f,  8.0,   -1
    b,  1.0,    e,  8.0,    d,  7.0,   -1
    b,  1.0,    e,  8.0,    d,  8.0,   -1
    b,  1.0,    e,  8.0,    e,  7.0,   -1
    b,  1.0,    e,  8.0,    f,  7.0,   -1
    b,  1.0,    e,  8.0,    f,  8.0,   -1
    b,  1.0,    f,  1.0,    e,  1.0,   -1
    b,  1.0,    f,  1.0,    e,  2.0,   -1
    b,  1.0,    f,  1.0,    f,  2.0,   -1
    b,  1.0,    f,  1.0,    g,  1.0,   -1
    b,  1.0,    f,  1.0,    g,  2.0,   -1
    b,  1.0,    f,  2.0,    e,  1.0,   -1
    b,  1.0,    f,  2.0,    e,  2.0,   -1
    b,  1.0,    f,  2.0,    e,  3.0,   -1
    b,  1.0,    f,  2.0,    f,  1.0,   -1
    b,  1.0,    f,  2.0,    f,  3.0,   -1
    b,  1.0,    f,  2.0,    g,  1.0,   -1
    b,  1.0,    f,  2.0,    g,  2.0,   -1
    b,  1.0,    f,  2.0,    g,  3.0,   -1
    b,  1.0,    f,  3.0,    e,  2.0,   -1
    b,  1.0,    f,  3.0,    e,  3.0,   -1
    b,  1.0,    f,  3.0,    e,  4.0,   -1
    b,  1.0,    f,  3.0,    f,  2.0,   -1
    b,  1.0,    f,  3.0,    f,  4.0,   -1
    b,  1.0,    f,  3.0,    g,  2.0,   -1
    b,  1.0,    f,  3.0,    g,  3.0,   -1
    b,  1.0,    f,  3.0,    g,  4.0,   -1
    b,  1.0,    f,  4.0,    e,  3.0,   -1
    b,  1.0,    f,  4.0,    e,  4.0,   -1
    b,  1.0,    f,  4.0,    e,  5.0,   -1
    b,  1.0,    f,  4.0,    f,  3.0,   -1
    b,  1.0,    f,  4.0,    f,  5.0,   -1
    b,  1.0,    f,  4.0,    g,  3.0,   -1
    b,  1.0,    f,  4.0,    g,  4.0,   -1
    b,  1.0,    f,  4.0,    g,  5.0,   -1
    b,  1.0,    f,  5.0,    e,  4.0,   -1
    b,  1.0,    f,  5.0,    e,  5.0,   -1
    b,  1.0,    f,  5.0,    e,  6.0,   -1
    b,  1.0,    f,  5.0,    f,  4.0,   -1
    b,  1.0,    f,  5.0,    f,  6.0,   -1
    b,  1.0,    f,  5.0,    g,  4.0,   -1
    b,  1.0,    f,  5.0,    g,  5.0,   -1
    b,  1.0,    f,  5.0,    g,  6.0,   -1
    b,  1.0,    f,  6.0,    e,  5.0,   -1
    b,  1.0,    f,  6.0,    e,  6.0,   -1
    b,  1.0,    f,  6.0,    e,  7.0,   -1
    b,  1.0,    f,  6.0,    f,  5.0,   -1
    b,  1.0,    f,  6.0,    f,  7.0,   -1
    b,  1.0,    f,  6.0,    g,  5.0,   -1
    b,  1.0,    f,  6.0,    g,  6.0,   -1
    b,  1.0,    f,  6.0,    g,  7.0,   -1
    b,  1.0,    f,  7.0,    e,  6.0,   -1
    b,  1.0,    f,  7.0,    e,  7.0,   -1
    b,  1.0,    f,  7.0,    e,  8.0,   -1
    b,  1.0,    f,  7.0,    f,  6.0,   -1
    b,  1.0,    f,  7.0,    f,  8.0,   -1
    b,  1.0,    f,  7.0,    g,  6.0,   -1
    b,  1.0,    f,  7.0,    g,  7.0,   -1
    b,  1.0,    f,  7.0,    g,  8.0,   -1
    b,  1.0,    f,  8.0,    e,  7.0,   -1
    b,  1.0,    f,  8.0,    e,  8.0,   -1
    b,  1.0,    f,  8.0,    f,  7.0,   -1
    b,  1.0,    f,  8.0,    g,  7.0,   -1
    b,  1.0,    f,  8.0,    g,  8.0,   -1
    b,  1.0,    g,  1.0,    f,  1.0,   -1
    b,  1.0,    g,  1.0,    f,  2.0,   -1
    b,  1.0,    g,  1.0,    g,  2.0,   -1
    b,  1.0,    g,  1.0,    h,  1.0,   -1
    b,  1.0,    g,  1.0,    h,  2.0,   -1
    b,  1.0,    g,  2.0,    f,  1.0,   -1
    b,  1.0,    g,  2.0,    f,  2.0,   -1
    b,  1.0,    g,  2.0,    f,  3.0,   -1
    b,  1.0,    g,  2.0,    g,  1.0,   -1
    b,  1.0,    g,  2.0,    g,  3.0,   -1
    b,  1.0,    g,  2.0,    h,  1.0,   -1
    b,  1.0,    g,  2.0,    h,  2.0,   -1
    b,  1.0,    g,  2.0,    h,  3.0,   -1
    b,  1.0,    g,  3.0,    f,  2.0,   -1
    b,  1.0,    g,  3.0,    f,  3.0,   -1
    b,  1.0,    g,  3.0,    f,  4.0,   -1
    b,  1.0,    g,  3.0,    g,  2.0,   -1
    b,  1.0,    g,  3.0,    g,  4.0,   -1
    b,  1.0,    g,  3.0,    h,  2.0,   -1
    b,  1.0,    g,  3.0,    h,  3.0,   -1
    b,  1.0,    g,  3.0,    h,  4.0,   -1
    b,  1.0,    g,  4.0,    f,  3.0,   -1
    b,  1.0,    g,  4.0,    f,  4.0,   -1
    b,  1.0,    g,  4.0,    f,  5.0,   -1
    b,  1.0,    g,  4.0,    g,  3.0,   -1
    b,  1.0,    g,  4.0,    g,  5.0,   -1
    b,  1.0,    g,  4.0,    h,  3.0,   -1
    b,  1.0,    g,  4.0,    h,  4.0,   -1
    b,  1.0,    g,  4.0,    h,  5.0,   -1
    b,  1.0,    g,  5.0,    f,  4.0,   -1
    b,  1.0,    g,  5.0,    f,  5.0,   -1
    b,  1.0,    g,  5.0,    f,  6.0,   -1
    b,  1.0,    g,  5.0,    g,  4.0,   -1
    b,  1.0,    g,  5.0,    g,  6.0,   -1
    b,  1.0,    g,  5.0,    h,  4.0,   -1
    b,  1.0,    g,  5.0,    h,  5.0,   -1
    b,  1.0,    g,  5.0,    h,  6.0,   -1
    b,  1.0,    g,  6.0,    f,  5.0,   -1
    b,  1.0,    g,  6.0,    f,  6.0,   -1
    b,  1.0,    g,  6.0,    f,  7.0,   -1
    b,  1.0,    g,  6.0,    g,  5.0,   -1
    b,  1.0,    g,  6.0,    g,  7.0,   -1
    b,  1.0,    g,  6.0,    h,  5.0,   -1
    b,  1.0,    g,  6.0,    h,  6.0,   -1
    b,  1.0,    g,  6.0,    h,  7.0,   -1
    b,  1.0,    g,  7.0,    f,  6.0,   -1
    b,  1.0,    g,  7.0,    f,  7.0,   -1
    b,  1.0,    g,  7.0,    f,  8.0,   -1
    b,  1.0,    g,  7.0,    g,  6.0,   -1
    b,  1.0,    g,  7.0,    g,  8.0,   -1
    b,  1.0,    g,  7.0,    h,  6.0,   -1
    b,  1.0,    g,  7.0,    h,  7.0,   -1
    b,  1.0,    g,  7.0,    h,  8.0,   -1
    b,  1.0,    g,  8.0,    f,  7.0,   -1
    b,  1.0,    g,  8.0,    f,  8.0,   -1
    b,  1.0,    g,  8.0,    g,  7.0,   -1
    b,  1.0,    g,  8.0,    h,  7.0,   -1
    b,  1.0,    g,  8.0,    h,  8.0,   -1
    b,  1.0,    h,  1.0,    g,  1.0,   -1
    b,  1.0,    h,  1.0,    g,  2.0,   -1
    b,  1.0,    h,  1.0,    h,  2.0,   -1
    b,  1.0,    h,  2.0,    g,  1.0,   -1
    b,  1.0,    h,  2.0,    g,  2.0,   -1
    b,  1.0,    h,  2.0,    g,  3.0,   -1
    b,  1.0,    h,  2.0,    h,  1.0,   -1
    b,  1.0,    h,  2.0,    h,  3.0,   -1
    b,  1.0,    h,  3.0,    g,  2.0,   -1
    b,  1.0,    h,  3.0,    g,  3.0,   -1
    b,  1.0,    h,  3.0,    g,  4.0,   -1
    b,  1.0,    h,  3.0,    h,  2.0,   -1
    b,  1.0,    h,  3.0,    h,  4.0,   -1
    b,  1.0,    h,  4.0,    g,  3.0,   -1
    b,  1.0,    h,  4.0,    g,  4.0,   -1
    b,  1.0,    h,  4.0,    g,  5.0,   -1
    b,  1.0,    h,  4.0,    h,  3.0,   -1
    b,  1.0,    h,  4.0,    h,  5.0,   -1
    b,  1.0,    h,  5.0,    g,  4.0,   -1
    b,  1.0,    h,  5.0,    g,  5.0,   -1
    b,  1.0,    h,  5.0,    g,  6.0,   -1
    b,  1.0,    h,  5.0,    h,  4.0,   -1
    b,  1.0,    h,  5.0,    h,  6.0,   -1
    b,  1.0,    h,  6.0,    g,  5.0,   -1
    b,  1.0,    h,  6.0,    g,  6.0,   -1
    b,  1.0,    h,  6.0,    g,  7.0,   -1
    b,  1.0,    h,  6.0,    h,  5.0,   -1
    b,  1.0,    h,  6.0,    h,  7.0,   -1
    b,  1.0,    h,  7.0,    g,  6.0,   -1
    b,  1.0,    h,  7.0,    g,  7.0,   -1
    b,  1.0,    h,  7.0,    g,  8.0,   -1
    b,  1.0,    h,  7.0,    h,  6.0,   -1
    b,  1.0,    h,  7.0,    h,  8.0,   -1
    b,  1.0,    h,  8.0,    g,  7.0,   -1
    b,  1.0,    h,  8.0,    g,  8.0,   -1
    b,  1.0,    h,  8.0,    h,  7.0,   -1
    b,  2.0,    c,  4.0,    d,  3.0,   -1
    b,  2.0,    d,  1.0,    d,  2.0,   -1
    b,  2.0,    d,  1.0,    e,  1.0,   -1
    b,  2.0,    d,  1.0,    e,  2.0,   -1
    b,  2.0,    d,  2.0,    d,  1.0,   -1
    b,  2.0,    d,  2.0,    d,  3.0,   -1
    b,  2.0,    d,  2.0,    e,  1.0,   -1
    b,  2.0,    d,  2.0,    e,  2.0,   -1
    b,  2.0,    d,  2.0,    e,  3.0,   -1
    b,  2.0,    d,  3.0,    d,  2.0,   -1
    b,  2.0,    d,  3.0,    d,  4.0,   -1
    b,  2.0,    d,  3.0,    e,  2.0,   -1
    b,  2.0,    d,  3.0,    e,  3.0,   -1
    b,  2.0,    d,  3.0,    e,  4.0,   -1
    b,  2.0,    d,  4.0,    d,  3.0,   -1
    b,  2.0,    d,  4.0,    e,  3.0,   -1
    b,  2.0,    d,  4.0,    e,  4.0,   -1
    b,  2.0,    d,  4.0,    e,  5.0,   -1
    b,  2.0,    d,  5.0,    e,  4.0,   -1
    b,  2.0,    e,  1.0,    d,  1.0,   -1
    b,  2.0,    e,  1.0,    d,  2.0,   -1
    b,  2.0,    e,  1.0,    e,  2.0,   -1
    b,  2.0,    e,  1.0,    f,  1.0,   -1
    b,  2.0,    e,  1.0,    f,  2.0,   -1
    b,  2.0,    e,  2.0,    d,  1.0,   -1
    b,  2.0,    e,  2.0,    d,  2.0,   -1
    b,  2.0,    e,  2.0,    d,  3.0,   -1
    b,  2.0,    e,  2.0,    e,  1.0,   -1
    b,  2.0,    e,  2.0,    e,  3.0,   -1
    b,  2.0,    e,  2.0,    f,  1.0,   -1
    b,  2.0,    e,  2.0,    f,  2.0,   -1
    b,  2.0,    e,  2.0,    f,  3.0,   -1
    b,  2.0,    e,  3.0,    d,  2.0,   -1
    b,  2.0,    e,  3.0,    d,  3.0,   -1
    b,  2.0,    e,  3.0,    d,  4.0,   -1
    b,  2.0,    e,  3.0,    e,  2.0,   -1
    b,  2.0,    e,  3.0,    e,  4.0,   -1
    b,  2.0,    e,  3.0,    f,  2.0,   -1
    b,  2.0,    e,  3.0,    f,  3.0,   -1
    b,  2.0,    e,  3.0,    f,  4.0,   -1
    b,  2.0,    e,  4.0,    d,  3.0,   -1
    b,  2.0,    e,  4.0,    d,  4.0,   -1
    b,  2.0,    e,  4.0,    e,  3.0,   -1
    b,  2.0,    e,  4.0,    e,  5.0,   -1
    b,  2.0,    e,  4.0,    f,  3.0,   -1
    b,  2.0,    e,  4.0,    f,  4.0,   -1
    b,  2.0,    e,  4.0,    f,  5.0,   -1
    b,  2.0,    e,  5.0,    d,  4.0,   -1
    b,  2.0,    e,  5.0,    e,  4.0,   -1
    b,  2.0,    e,  5.0,    f,  4.0,   -1
    b,  2.0,    e,  5.0,    f,  5.0,   -1
    b,  2.0,    e,  5.0,    f,  6.0,   -1
    b,  2.0,    e,  6.0,    f,  5.0,   -1
    b,  2.0,    f,  1.0,    e,  1.0,   -1
    b,  2.0,    f,  1.0,    e,  2.0,   -1
    b,  2.0,    f,  1.0,    f,  2.0,   -1
    b,  2.0,    f,  1.0,    g,  1.0,   -1
    b,  2.0,    f,  1.0,    g,  2.0,   -1
    b,  2.0,    f,  2.0,    e,  1.0,   -1
    b,  2.0,    f,  2.0,    e,  2.0,   -1
    b,  2.0,    f,  2.0,    e,  3.0,   -1
    b,  2.0,    f,  2.0,    f,  1.0,   -1
    b,  2.0,    f,  2.0,    f,  3.0,   -1
    b,  2.0,    f,  2.0,    g,  1.0,   -1
    b,  2.0,    f,  2.0,    g,  2.0,   -1
    b,  2.0,    f,  2.0,    g,  3.0,   -1
    b,  2.0,    f,  3.0,    e,  2.0,   -1
    b,  2.0,    f,  3.0,    e,  3.0,   -1
    b,  2.0,    f,  3.0,    e,  4.0,   -1
    b,  2.0,    f,  3.0,    f,  2.0,   -1
    b,  2.0,    f,  3.0,    f,  4.0,   -1
    b,  2.0,    f,  3.0,    g,  2.0,   -1
    b,  2.0,    f,  3.0,    g,  3.0,   -1
    b,  2.0,    f,  3.0,    g,  4.0,   -1
    b,  2.0,    f,  4.0,    e,  3.0,   -1
    b,  2.0,    f,  4.0,    e,  4.0,   -1
    b,  2.0,    f,  4.0,    e,  5.0,   -1
    b,  2.0,    f,  4.0,    f,  3.0,   -1
    b,  2.0,    f,  4.0,    f,  5.0,   -1
    b,  2.0,    f,  4.0,    g,  3.0,   -1
    b,  2.0,    f,  4.0,    g,  4.0,   -1
    b,  2.0,    f,  4.0,    g,  5.0,   -1
    b,  2.0,    f,  5.0,    e,  4.0,   -1
    b,  2.0,    f,  5.0,    e,  5.0,   -1
    b,  2.0,    f,  5.0,    f,  4.0,   -1
    b,  2.0,    f,  5.0,    f,  6.0,   -1
    b,  2.0,    f,  5.0,    g,  4.0,   -1
    b,  2.0,    f,  5.0,    g,  5.0,   -1
    b,  2.0,    f,  5.0,    g,  6.0,   -1
    b,  2.0,    f,  6.0,    e,  5.0,   -1
    b,  2.0,    f,  6.0,    f,  5.0,   -1
    b,  2.0,    f,  6.0,    g,  5.0,   -1
    b,  2.0,    f,  6.0,    g,  6.0,   -1
    b,  2.0,    f,  6.0,    g,  7.0,   -1
    b,  2.0,    f,  7.0,    g,  6.0,   -1
    b,  2.0,    g,  1.0,    f,  1.0,   -1
    b,  2.0,    g,  1.0,    f,  2.0,   -1
    b,  2.0,    g,  1.0,    g,  2.0,   -1
    b,  2.0,    g,  1.0,    h,  1.0,   -1
    b,  2.0,    g,  1.0,    h,  2.0,   -1
    b,  2.0,    g,  2.0,    f,  1.0,   -1
    b,  2.0,    g,  2.0,    f,  2.0,   -1
    b,  2.0,    g,  2.0,    f,  3.0,   -1
    b,  2.0,    g,  2.0,    g,  1.0,   -1
    b,  2.0,    g,  2.0,    g,  3.0,   -1
    b,  2.0,    g,  2.0,    h,  1.0,   -1
    b,  2.0,    g,  2.0,    h,  2.0,   -1
    b,  2.0,    g,  2.0,    h,  3.0,   -1
    b,  2.0,    g,  3.0,    f,  2.0,   -1
    b,  2.0,    g,  3.0,    f,  3.0,   -1
    b,  2.0,    g,  3.0,    f,  4.0,   -1
    b,  2.0,    g,  3.0,    g,  2.0,   -1
    b,  2.0,    g,  3.0,    g,  4.0,   -1
    b,  2.0,    g,  3.0,    h,  2.0,   -1
    b,  2.0,    g,  3.0,    h,  3.0,   -1
    b,  2.0,    g,  3.0,    h,  4.0,   -1
    b,  2.0,    g,  4.0,    f,  3.0,   -1
    b,  2.0,    g,  4.0,    f,  4.0,   -1
    b,  2.0,    g,  4.0,    f,  5.0,   -1
    b,  2.0,    g,  4.0,    g,  3.0,   -1
    b,  2.0,    g,  4.0,    g,  5.0,   -1
    b,  2.0,    g,  4.0,    h,  3.0,   -1
    b,  2.0,    g,  4.0,    h,  4.0,   -1
    b,  2.0,    g,  4.0,    h,  5.0,   -1
    b,  2.0,    g,  5.0,    f,  4.0,   -1
    b,  2.0,    g,  5.0,    f,  5.0,   -1
    b,  2.0,    g,  5.0,    f,  6.0,   -1
    b,  2.0,    g,  5.0,    g,  4.0,   -1
    b,  2.0,    g,  5.0,    g,  6.0,   -1
    b,  2.0,    g,  5.0,    h,  4.0,   -1
    b,  2.0,    g,  5.0,    h,  5.0,   -1
    b,  2.0,    g,  5.0,    h,  6.0,   -1
    b,  2.0,    g,  6.0,    f,  5.0,   -1
    b,  2.0,    g,  6.0,    f,  6.0,   -1
    b,  2.0,    g,  6.0,    g,  5.0,   -1
    b,  2.0,    g,  6.0,    g,  7.0,   -1
    b,  2.0,    g,  6.0,    h,  5.0,   -1
    b,  2.0,    g,  6.0,    h,  6.0,   -1
    b,  2.0,    g,  6.0,    h,  7.0,   -1
    b,  2.0,    g,  7.0,    f,  6.0,   -1
    b,  2.0,    g,  7.0,    g,  6.0,   -1
    b,  2.0,    g,  7.0,    h,  6.0,   -1
    b,  2.0,    g,  7.0,    h,  7.0,   -1
    b,  2.0,    g,  7.0,    h,  8.0,   -1
    b,  2.0,    g,  8.0,    h,  7.0,   -1
    b,  2.0,    h,  1.0,    g,  1.0,   -1
    b,  2.0,    h,  1.0,    g,  2.0,   -1
    b,  2.0,    h,  1.0,    h,  2.0,   -1
    b,  2.0,    h,  2.0,    g,  1.0,   -1
    b,  2.0,    h,  2.0,    g,  2.0,   -1
    b,  2.0,    h,  2.0,    g,  3.0,   -1
    b,  2.0,    h,  2.0,    h,  1.0,   -1
    b,  2.0,    h,  2.0,    h,  3.0,   -1
    b,  2.0,    h,  3.0,    g,  2.0,   -1
    b,  2.0,    h,  3.0,    g,  3.0,   -1
    b,  2.0,    h,  3.0,    g,  4.0,   -1
    b,  2.0,    h,  3.0,    h,  2.0,   -1
    b,  2.0,    h,  3.0,    h,  4.0,   -1
    b,  2.0,    h,  4.0,    g,  3.0,   -1
    b,  2.0,    h,  4.0,    g,  4.0,   -1
    b,  2.0,    h,  4.0,    g,  5.0,   -1
    b,  2.0,    h,  4.0,    h,  3.0,   -1
    b,  2.0,    h,  4.0,    h,  5.0,   -1
    b,  2.0,    h,  5.0,    g,  4.0,   -1
    b,  2.0,    h,  5.0,    g,  5.0,   -1
    b,  2.0,    h,  5.0,    g,  6.0,   -1
    b,  2.0,    h,  5.0,    h,  4.0,   -1
    b,  2.0,    h,  5.0,    h,  6.0,   -1
    b,  2.0,    h,  6.0,    g,  5.0,   -1
    b,  2.0,    h,  6.0,    g,  6.0,   -1
    b,  2.0,    h,  6.0,    g,  7.0,   -1
    b,  2.0,    h,  6.0,    h,  5.0,   -1
    b,  2.0,    h,  6.0,    h,  7.0,   -1
    b,  2.0,    h,  7.0,    g,  6.0,   -1
    b,  2.0,    h,  7.0,    g,  7.0,   -1
    b,  2.0,    h,  7.0,    h,  6.0,   -1
    b,  2.0,    h,  7.0,    h,  8.0,   -1
    b,  2.0,    h,  8.0,    g,  7.0,   -1
    b,  2.0,    h,  8.0,    h,  7.0,   -1
    c,  1.0,    a,  1.0,    a,  2.0,   -1
    c,  1.0,    a,  2.0,    a,  1.0,   -1
    c,  1.0,    a,  2.0,    a,  3.0,   -1
    c,  1.0,    a,  2.0,    b,  3.0,   -1
    c,  1.0,    a,  3.0,    a,  2.0,   -1
    c,  1.0,    a,  3.0,    a,  4.0,   -1
    c,  1.0,    a,  3.0,    b,  3.0,   -1
    c,  1.0,    a,  3.0,    b,  4.0,   -1
    c,  1.0,    a,  4.0,    a,  3.0,   -1
    c,  1.0,    a,  4.0,    a,  5.0,   -1
    c,  1.0,    a,  4.0,    b,  3.0,   -1
    c,  1.0,    a,  4.0,    b,  4.0,   -1
    c,  1.0,    a,  4.0,    b,  5.0,   -1
    c,  1.0,    a,  5.0,    a,  4.0,   -1
    c,  1.0,    a,  5.0,    a,  6.0,   -1
    c,  1.0,    a,  5.0,    b,  4.0,   -1
    c,  1.0,    a,  5.0,    b,  5.0,   -1
    c,  1.0,    a,  5.0,    b,  6.0,   -1
    c,  1.0,    a,  6.0,    a,  5.0,   -1
    c,  1.0,    a,  6.0,    a,  7.0,   -1
    c,  1.0,    a,  6.0,    b,  5.0,   -1
    c,  1.0,    a,  6.0,    b,  6.0,   -1
    c,  1.0,    a,  6.0,    b,  7.0,   -1
    c,  1.0,    a,  7.0,    a,  6.0,   -1
    c,  1.0,    a,  7.0,    a,  8.0,   -1
    c,  1.0,    a,  7.0,    b,  6.0,   -1
    c,  1.0,    a,  7.0,    b,  7.0,   -1
    c,  1.0,    a,  7.0,    b,  8.0,   -1
    c,  1.0,    a,  8.0,    a,  7.0,   -1
    c,  1.0,    a,  8.0,    b,  7.0,   -1
    c,  1.0,    a,  8.0,    b,  8.0,   -1
    c,  1.0,    b,  2.0,    a,  1.0,   -1
    c,  1.0,    b,  3.0,    a,  2.0,   -1
    c,  1.0,    b,  3.0,    a,  3.0,   -1
    c,  1.0,    b,  3.0,    a,  4.0,   -1
    c,  1.0,    b,  3.0,    b,  4.0,   -1
    c,  1.0,    b,  3.0,    c,  3.0,   -1
    c,  1.0,    b,  3.0,    c,  4.0,   -1
    c,  1.0,    b,  4.0,    a,  3.0,   -1
    c,  1.0,    b,  4.0,    a,  4.0,   -1
    c,  1.0,    b,  4.0,    a,  5.0,   -1
    c,  1.0,    b,  4.0,    b,  3.0,   -1
    c,  1.0,    b,  4.0,    b,  5.0,   -1
    c,  1.0,    b,  4.0,    c,  3.0,   -1
    c,  1.0,    b,  4.0,    c,  4.0,   -1
    c,  1.0,    b,  4.0,    c,  5.0,   -1
    c,  1.0,    b,  5.0,    a,  4.0,   -1
    c,  1.0,    b,  5.0,    a,  5.0,   -1
    c,  1.0,    b,  5.0,    a,  6.0,   -1
    c,  1.0,    b,  5.0,    b,  4.0,   -1
    c,  1.0,    b,  5.0,    b,  6.0,   -1
    c,  1.0,    b,  5.0,    c,  4.0,   -1
    c,  1.0,    b,  5.0,    c,  5.0,   -1
    c,  1.0,    b,  5.0,    c,  6.0,   -1
    c,  1.0,    b,  6.0,    a,  5.0,   -1
    c,  1.0,    b,  6.0,    a,  6.0,   -1
    c,  1.0,    b,  6.0,    a,  7.0,   -1
    c,  1.0,    b,  6.0,    b,  5.0,   -1
    c,  1.0,    b,  6.0,    b,  7.0,   -1
    c,  1.0,    b,  6.0,    c,  5.0,   -1
    c,  1.0,    b,  6.0,    c,  6.0,   -1
    c,  1.0,    b,  6.0,    c,  7.0,   -1
    c,  1.0,    b,  7.0,    a,  6.0,   -1
    c,  1.0,    b,  7.0,    a,  7.0,   -1
    c,  1.0,    b,  7.0,    a,  8.0,   -1
    c,  1.0,    b,  7.0,    b,  6.0,   -1
    c,  1.0,    b,  7.0,    b,  8.0,   -1
    c,  1.0,    b,  7.0,    c,  6.0,   -1
    c,  1.0,    b,  7.0,    c,  7.0,   -1
    c,  1.0,    b,  7.0,    c,  8.0,   -1
    c,  1.0,    b,  8.0,    a,  7.0,   -1
    c,  1.0,    b,  8.0,    a,  8.0,   -1
    c,  1.0,    b,  8.0,    b,  7.0,   -1
    c,  1.0,    b,  8.0,    c,  7.0,   -1
    c,  1.0,    b,  8.0,    c,  8.0,   -1
    c,  1.0,    c,  2.0,    a,  1.0,   -1
    c,  1.0,    c,  3.0,    b,  3.0,   -1
    c,  1.0,    c,  3.0,    b,  4.0,   -1
    c,  1.0,    c,  3.0,    c,  4.0,   -1
    c,  1.0,    c,  3.0,    d,  3.0,   -1
    c,  1.0,    c,  3.0,    d,  4.0,   -1
    c,  1.0,    c,  4.0,    b,  3.0,   -1
    c,  1.0,    c,  4.0,    b,  4.0,   -1
    c,  1.0,    c,  4.0,    b,  5.0,   -1
    c,  1.0,    c,  4.0,    c,  3.0,   -1
    c,  1.0,    c,  4.0,    c,  5.0,   -1
    c,  1.0,    c,  4.0,    d,  3.0,   -1
    c,  1.0,    c,  4.0,    d,  4.0,   -1
    c,  1.0,    c,  4.0,    d,  5.0,   -1
    c,  1.0,    c,  5.0,    b,  4.0,   -1
    c,  1.0,    c,  5.0,    b,  5.0,   -1
    c,  1.0,    c,  5.0,    b,  6.0,   -1
    c,  1.0,    c,  5.0,    c,  4.0,   -1
    c,  1.0,    c,  5.0,    c,  6.0,   -1
    c,  1.0,    c,  5.0,    d,  4.0,   -1
    c,  1.0,    c,  5.0,    d,  5.0,   -1
    c,  1.0,    c,  5.0,    d,  6.0,   -1
    c,  1.0,    c,  6.0,    b,  5.0,   -1
    c,  1.0,    c,  6.0,    b,  6.0,   -1
    c,  1.0,    c,  6.0,    b,  7.0,   -1
    c,  1.0,    c,  6.0,    c,  5.0,   -1
    c,  1.0,    c,  6.0,    c,  7.0,   -1
    c,  1.0,    c,  6.0,    d,  5.0,   -1
    c,  1.0,    c,  6.0,    d,  6.0,   -1
    c,  1.0,    c,  6.0,    d,  7.0,   -1
    c,  1.0,    c,  7.0,    b,  6.0,   -1
    c,  1.0,    c,  7.0,    b,  7.0,   -1
    c,  1.0,    c,  7.0,    b,  8.0,   -1
    c,  1.0,    c,  7.0,    c,  6.0,   -1
    c,  1.0,    c,  7.0,    c,  8.0,   -1
    c,  1.0,    c,  7.0,    d,  6.0,   -1
    c,  1.0,    c,  7.0,    d,  7.0,   -1
    c,  1.0,    c,  7.0,    d,  8.0,   -1
    c,  1.0,    c,  8.0,    b,  7.0,   -1
    c,  1.0,    c,  8.0,    b,  8.0,   -1
    c,  1.0,    c,  8.0,    c,  7.0,   -1
    c,  1.0,    c,  8.0,    d,  7.0,   -1
    c,  1.0,    c,  8.0,    d,  8.0,   -1
    c,  1.0,    d,  2.0,    a,  1.0,   -1
    c,  1.0,    d,  3.0,    c,  3.0,   -1
    c,  1.0,    d,  3.0,    c,  4.0,   -1
    c,  1.0,    d,  3.0,    d,  4.0,   -1
    c,  1.0,    d,  3.0,    e,  2.0,   -1
    c,  1.0,    d,  3.0,    e,  3.0,   -1
    c,  1.0,    d,  3.0,    e,  4.0,   -1
    c,  1.0,    d,  4.0,    c,  3.0,   -1
    c,  1.0,    d,  4.0,    c,  4.0,   -1
    c,  1.0,    d,  4.0,    c,  5.0,   -1
    c,  1.0,    d,  4.0,    d,  3.0,   -1
    c,  1.0,    d,  4.0,    d,  5.0,   -1
    c,  1.0,    d,  4.0,    e,  3.0,   -1
    c,  1.0,    d,  4.0,    e,  4.0,   -1
    c,  1.0,    d,  4.0,    e,  5.0,   -1
    c,  1.0,    d,  5.0,    c,  4.0,   -1
    c,  1.0,    d,  5.0,    c,  5.0,   -1
    c,  1.0,    d,  5.0,    c,  6.0,   -1
    c,  1.0,    d,  5.0,    d,  4.0,   -1
    c,  1.0,    d,  5.0,    d,  6.0,   -1
    c,  1.0,    d,  5.0,    e,  4.0,   -1
    c,  1.0,    d,  5.0,    e,  5.0,   -1
    c,  1.0,    d,  5.0,    e,  6.0,   -1
    c,  1.0,    d,  6.0,    c,  5.0,   -1
    c,  1.0,    d,  6.0,    c,  6.0,   -1
